test_id,config,switch_table_detected,indirect_jmp_count,indirect_jmp_notrack
1,gcc-branch-baseline,False,0,False
1,gcc-branch-lto,False,0,False
1,clang-branch-baseline,False,0,False
1,clang-branch-thinlto,False,0,False
1,clang-branch-fulllto,False,0,False
2,gcc-branch-baseline,False,0,False
2,gcc-branch-lto,False,0,False
2,clang-branch-baseline,False,0,False
2,clang-branch-thinlto,False,0,False
2,clang-branch-fulllto,False,0,False
3,gcc-branch-baseline,False,0,False
3,gcc-branch-lto,False,0,False
3,clang-branch-baseline,False,0,False
3,clang-branch-thinlto,False,0,False
3,clang-branch-fulllto,False,0,False
5,gcc-branch-baseline,False,0,False
5,gcc-branch-lto,False,0,False
5,clang-branch-baseline,False,0,False
5,clang-branch-thinlto,False,0,False
5,clang-branch-fulllto,False,0,False
7,gcc-branch-baseline,False,0,False
7,gcc-branch-lto,False,0,False
7,clang-branch-baseline,False,0,False
7,clang-branch-thinlto,False,0,False
7,clang-branch-fulllto,False,0,False
8,gcc-branch-baseline,False,0,False
8,gcc-branch-lto,False,0,False
8,clang-branch-baseline,False,0,False
8,clang-branch-thinlto,False,0,False
8,clang-branch-fulllto,False,0,False
9,gcc-branch-baseline,False,0,False
9,gcc-branch-lto,False,0,False
9,clang-branch-baseline,False,0,False
9,clang-branch-thinlto,False,0,False
9,clang-branch-fulllto,False,0,False
13,gcc-branch-baseline,False,0,False
13,gcc-branch-lto,False,0,False
13,clang-branch-baseline,False,0,False
13,clang-branch-thinlto,False,0,False
13,clang-branch-fulllto,False,0,False
15,gcc-branch-baseline,False,0,False
15,gcc-branch-lto,False,0,False
15,clang-branch-baseline,False,0,False
15,clang-branch-thinlto,False,0,False
15,clang-branch-fulllto,False,0,False
17,gcc-branch-baseline,False,0,False
17,gcc-branch-lto,False,0,False
17,clang-branch-baseline,False,0,False
17,clang-branch-thinlto,False,0,False
17,clang-branch-fulllto,False,0,False
19,gcc-branch-baseline,False,0,False
19,gcc-branch-lto,False,0,False
19,clang-branch-baseline,False,0,False
19,clang-branch-thinlto,False,0,False
19,clang-branch-fulllto,False,0,False
20,gcc-branch-baseline,False,0,False
20,gcc-branch-lto,False,0,False
20,clang-branch-baseline,False,0,False
20,clang-branch-thinlto,False,0,False
20,clang-branch-fulllto,False,0,False
21,gcc-branch-baseline,False,0,False
21,gcc-branch-lto,False,0,False
21,clang-branch-baseline,False,0,False
21,clang-branch-thinlto,False,0,False
21,clang-branch-fulllto,False,0,False
22,gcc-branch-baseline,False,0,False
22,gcc-branch-lto,False,0,False
22,clang-branch-baseline,False,0,False
22,clang-branch-thinlto,False,0,False
22,clang-branch-fulllto,False,0,False
25,gcc-branch-baseline,False,0,False
25,gcc-branch-lto,False,0,False
25,clang-branch-baseline,False,0,False
25,clang-branch-thinlto,False,0,False
25,clang-branch-fulllto,False,0,False
26,gcc-branch-baseline,False,0,False
26,gcc-branch-lto,False,0,False
26,clang-branch-baseline,False,0,False
26,clang-branch-thinlto,False,0,False
26,clang-branch-fulllto,False,0,False
27,gcc-branch-baseline,False,0,False
27,gcc-branch-lto,False,0,False
27,clang-branch-baseline,False,0,False
27,clang-branch-thinlto,False,0,False
27,clang-branch-fulllto,False,0,False
28,gcc-branch-baseline,False,0,False
28,gcc-branch-lto,False,0,False
28,clang-branch-baseline,False,0,False
28,clang-branch-thinlto,False,0,False
28,clang-branch-fulllto,False,0,False
30,gcc-branch-baseline,False,0,False
30,gcc-branch-lto,False,0,False
30,clang-branch-baseline,False,0,False
30,clang-branch-thinlto,False,0,False
30,clang-branch-fulllto,False,0,False
31,gcc-branch-baseline,False,0,False
31,gcc-branch-lto,False,0,False
31,clang-branch-baseline,False,0,False
31,clang-branch-thinlto,False,0,False
31,clang-branch-fulllto,False,0,False
32,gcc-branch-baseline,False,0,False
32,gcc-branch-lto,False,0,False
32,clang-branch-baseline,False,0,False
32,clang-branch-thinlto,False,0,False
32,clang-branch-fulllto,False,0,False
33,gcc-branch-baseline,False,0,False
33,gcc-branch-lto,False,0,False
33,clang-branch-baseline,False,0,False
33,clang-branch-thinlto,False,0,False
33,clang-branch-fulllto,False,0,False
34,gcc-branch-baseline,False,0,False
34,gcc-branch-lto,False,0,False
34,clang-branch-baseline,False,0,False
34,clang-branch-thinlto,False,0,False
34,clang-branch-fulllto,False,0,False
36,gcc-branch-baseline,False,0,False
36,gcc-branch-lto,False,0,False
36,clang-branch-baseline,False,0,False
36,clang-branch-thinlto,False,0,False
36,clang-branch-fulllto,False,0,False
37,gcc-branch-baseline,False,0,False
37,gcc-branch-lto,False,0,False
37,clang-branch-baseline,False,0,False
37,clang-branch-thinlto,False,0,False
37,clang-branch-fulllto,False,0,False
38,gcc-branch-baseline,False,0,False
38,gcc-branch-lto,False,0,False
38,clang-branch-baseline,False,0,False
38,clang-branch-thinlto,False,0,False
38,clang-branch-fulllto,False,0,False
39,gcc-branch-baseline,False,0,False
39,gcc-branch-lto,False,0,False
39,clang-branch-baseline,False,0,False
39,clang-branch-thinlto,False,0,False
39,clang-branch-fulllto,False,0,False
40,gcc-branch-baseline,False,0,False
40,gcc-branch-lto,False,0,False
40,clang-branch-baseline,False,0,False
40,clang-branch-thinlto,False,0,False
40,clang-branch-fulllto,False,0,False
41,gcc-branch-baseline,False,0,False
41,gcc-branch-lto,False,0,False
41,clang-branch-baseline,False,0,False
41,clang-branch-thinlto,False,0,False
41,clang-branch-fulllto,False,0,False
42,gcc-branch-baseline,False,0,False
42,gcc-branch-lto,False,0,False
42,clang-branch-baseline,False,0,False
42,clang-branch-thinlto,False,0,False
42,clang-branch-fulllto,False,0,False
43,gcc-branch-baseline,False,0,False
43,gcc-branch-lto,False,0,False
43,clang-branch-baseline,False,0,False
43,clang-branch-thinlto,False,0,False
43,clang-branch-fulllto,False,0,False
44,gcc-branch-baseline,False,0,False
44,gcc-branch-lto,False,0,False
44,clang-branch-baseline,False,0,False
44,clang-branch-thinlto,False,0,False
44,clang-branch-fulllto,False,0,False
46,gcc-branch-baseline,False,0,False
46,gcc-branch-lto,False,0,False
46,clang-branch-baseline,False,0,False
46,clang-branch-thinlto,False,0,False
46,clang-branch-fulllto,False,0,False
47,gcc-branch-baseline,False,0,False
47,gcc-branch-lto,False,0,False
47,clang-branch-baseline,False,0,False
47,clang-branch-thinlto,False,0,False
47,clang-branch-fulllto,False,0,False
53,gcc-branch-baseline,False,0,False
